,inflow(t-2),precipitation(t-2),temp_1(t-2),temp_2(t-2),humidity(t-2),wind(t-2),solar(t-2),inflow(t-1),precipitation(t-1),temp_1(t-1),temp_2(t-1),humidity(t-1),wind(t-1),solar(t-1),inflow(t),precipitation(t),temp_1(t),temp_2(t),humidity(t),wind(t),solar(t)
82,5.9,0,11.8,-2.3,63.8,2.8,9.9,9.1,2.9,5.7,1.4,70.3,3,0,3.6,0.8,5.8,0.3,79.5,2.4,1.8
83,9.1,2.9,5.7,1.4,70.3,3,0,3.6,0.8,5.8,0.3,79.5,2.4,1.8,2.8,0,8.9,-5,54.8,2.4,10.4
84,3.6,0.8,5.8,0.3,79.5,2.4,1.8,2.8,0,8.9,-5,54.8,2.4,10.4,5,0,10,-2.6,58.3,2.6,7.7
85,2.8,0,8.9,-5,54.8,2.4,10.4,5,0,10,-2.6,58.3,2.6,7.7,0.1,0,11.2,0.6,48,3,10.6
86,5,0,10,-2.6,58.3,2.6,7.7,0.1,0,11.2,0.6,48,3,10.6,4.4,0,16.3,-4,55.3,1.2,10.9
87,0.1,0,11.2,0.6,48,3,10.6,4.4,0,16.3,-4,55.3,1.2,10.9,4.9,0,18,-1.7,53.3,0.8,11.4
88,4.4,0,16.3,-4,55.3,1.2,10.9,4.9,0,18,-1.7,53.3,0.8,11.4,12.2,0,18.6,3,51.3,0.5,6.5
89,4.9,0,18,-1.7,53.3,0.8,11.4,12.2,0,18.6,3,51.3,0.5,6.5,11.7,0,20.4,-0.1,61.8,0.7,8.8
90,12.2,0,18.6,3,51.3,0.5,6.5,11.7,0,20.4,-0.1,61.8,0.7,8.8,17.6,3.6,10.4,2.9,80.8,2,0
91,11.7,0,20.4,-0.1,61.8,0.7,8.8,17.6,3.6,10.4,2.9,80.8,2,0,17.6,0,12.4,0.9,58.3,2.9,8.5
92,17.6,3.6,10.4,2.9,80.8,2,0,17.6,0,12.4,0.9,58.3,2.9,8.5,13.8,0,13.5,-2.3,35.3,1.7,11.3
93,17.6,0,12.4,0.9,58.3,2.9,8.5,13.8,0,13.5,-2.3,35.3,1.7,11.3,9.6,0,20.2,-1.1,54,1.5,10.1
94,13.8,0,13.5,-2.3,35.3,1.7,11.3,9.6,0,20.2,-1.1,54,1.5,10.1,12,0,22.2,3.4,63.5,1.1,5.6
95,9.6,0,20.2,-1.1,54,1.5,10.1,12,0,22.2,3.4,63.5,1.1,5.6,83.9,75.8,17.6,13.6,83.5,0.8,0
96,12,0,22.2,3.4,63.5,1.1,5.6,83.9,75.8,17.6,13.6,83.5,0.8,0,696.1,19.7,14.6,4.6,77,3.1,0
97,83.9,75.8,17.6,13.6,83.5,0.8,0,696.1,19.7,14.6,4.6,77,3.1,0,226.1,0,14,0.9,76.3,0.7,6.5
98,696.1,19.7,14.6,4.6,77,3.1,0,226.1,0,14,0.9,76.3,0.7,6.5,129.7,0,15.4,7.1,73.5,1.4,2.4
99,226.1,0,14,0.9,76.3,0.7,6.5,129.7,0,15.4,7.1,73.5,1.4,2.4,91.6,0,18,2.9,63,2.1,11.2
100,129.7,0,15.4,7.1,73.5,1.4,2.4,91.6,0,18,2.9,63,2.1,11.2,54.7,0,18.3,1.9,53.8,2.3,12
