,inflow,outflow,precipitation,temp_max,temp_min,humidity,wind,solar
1980-09-26,25.5,60.1,0,24.8,9.9,83.3,1.5,9.8
1980-09-27,21.9,70.3,0,25.2,10.6,78.3,0.7,10.5
1980-09-28,20.6,13.7,0,24.8,10.7,82.5,0.5,5.9
1980-09-29,7.6,35.3,0,22.8,10,75.3,1.5,7
1980-09-30,28.2,35.1,0,23.1,6.9,72.3,0.9,11
1980-10-01,31.4,24.5,0,23.9,6.7,79,0.5,7.3
1980-10-02,18.3,59.8,0,24.5,7.1,79.3,0.4,7.3
1980-10-03,13.8,0,0,25.1,6.7,75.3,0.5,7.7
1980-10-04,16,29.8,0,25,7.3,75,0.7,8.3
1980-10-05,27.8,0,12.5,14.5,11.9,94.5,0.2,0
1980-10-06,26.7,54.4,1,20.6,11.3,91,0.5,1.8
1980-10-07,12.2,46.8,0,23.7,11.5,84,0.7,4.8
1980-10-08,24.5,100.6,0.8,23.7,9.7,72.3,1.5,9.3
1980-10-09,13.9,69.3,0,22.2,6.4,80.3,0.5,7.8
1980-10-10,15.4,77.7,4.8,17.8,11.8,89.5,0.4,0
1980-10-11,17.5,38.3,0,25.2,10.5,79.3,1.5,10.6
1980-10-12,13.8,0,0,22.7,13.4,70.3,3,5.9
1980-10-13,14.2,35,0,23.5,11.2,81.5,1,7.6
1980-10-14,13.8,62.2,0,20.9,5.8,73.3,1,9.4
1980-10-15,12.2,67.6,0,21.2,4.7,77.8,0.5,7.3
1980-10-16,10.8,52.3,0,19.2,8.3,79.3,0.3,4.4
1980-10-17,4,59.4,0,22.1,6.2,77.5,1.4,4.9
1980-10-18,8.2,62.9,0,19.6,8,82.5,0.7,0.6
1980-10-19,13.6,0,0,22.4,4.6,71.3,1.3,9
1980-10-20,6.3,60.6,0,21.7,5,75.5,1.2,8.6
1980-10-21,13.2,53.9,0,14.8,1.2,69.5,1.2,9.9
1980-10-22,12.6,39.8,0,14.9,-2.6,70.5,1,10.1
1980-10-23,8.3,42.3,0,18.8,-1.5,71.5,0.7,9.9
1980-10-24,7.6,61.9,0,15.6,0.6,75.5,0.5,6.5
1980-10-25,5.8,39.8,11.6,11.2,0.4,85.3,4,0
1980-10-26,13.6,0,0,4.8,0.2,44.8,6.3,5.6
1980-10-27,8.7,56.2,0,11.4,-0.2,49.3,3.7,9.3
1980-10-28,12.3,53.1,0,12.7,-4,73.3,1,9.9
1980-10-29,11.6,65.9,0,14.9,-3.7,74,0.9,9.5
1980-10-30,3.7,78.4,1.1,12.7,-2.4,78.3,2.9,5.6
1980-10-31,9.5,63.8,0,11.3,-2.2,55,1.6,9.4
1980-11-01,9.7,50.5,0.1,12.3,-1.7,72.8,0.7,2.7
1980-11-02,6.8,0,0,14,0.8,73.5,1,6.2
1980-11-03,5.8,60.1,0,15.2,-2.7,73.8,0.7,10
1980-11-04,5.8,53.3,0,11,0.7,82,0.5,1.2
1980-11-05,9.2,62.9,0.3,19,3.7,76.8,1.4,6.4
1980-11-06,9.1,89.1,0,18.7,4.1,77.3,1,6.6
1980-11-07,2.7,76,0,17.8,3.4,65.5,2.8,5.6
1980-11-08,7.7,81,0,8.4,-2.3,52.8,2.1,9.1
1980-11-09,6.7,0,0,11,-4.6,74.5,1.1,7.7
1980-11-10,3.4,83.4,0,14.9,-1.3,76.5,1.1,5.2
1980-11-11,4.3,70.9,0,17.3,5,78.5,0.7,5.2
1980-11-12,7.5,80.8,4.4,15.3,3.7,81,2.5,0
1980-11-13,7.4,67.4,0,4.1,-4.2,44.8,4,8.7
1980-11-14,7,60.3,0.9,6.1,-5.2,88.5,0.5,2.1
1980-11-15,9.4,76,0,11.7,-4,77.5,0.4,8.4
1980-11-16,11.2,30.9,0,13.8,-1.2,75.5,0.3,4.2
1980-11-17,4.6,63.4,0.4,13.6,0.8,76,0.5,6
1980-11-18,4.7,63.5,0,12.4,-0.2,89.8,0.5,3.2
